;;;;;;;;;;;;;;;;
6;Nr sklepu;Miasto;Kod pocztowy;Ulica;;Data dostawy;Data monta?u;Nr zamówienia;CSP;Wykonawca;;Nr Maszyny;;;;
Ruda ?l?ska;3362;Jastrzebie Zdrój;44-335;Rybnicka 11;;11.03.2022;21.03.2022;PO22/01981;B/323362000122;Grzesiek;OK;22100057;Latitude;Longitude;Metoda GPS;?ród?o / uwagi
Ruda ?l?ska;1397;Gliwice;44-119;Jedno?ci 4;;04.04.2022;05.04.2022;PO22/01985;B/321397000122;Pilers;OK;22100984;50,297610;18,676580;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;4530;Jaros?aw;37-500;Spó?dzielcza 3;;23.03.2022;25.03.2022;PO22/02252;B/324530000122;Zenek;OK;22100466;50,016230;22,677760;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;4669;Mielec;39-300;Legionów 80;;17.03.2022;21.03.2022;PO22/02251;B/324669000122;Zenek;OK;22100439;50,287090;21,423900;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;4244;Ruda ?l?ska;41-717;Górno?l?ska 16;;11.03.2022;11.03.2022;PO22/01976;B/324244000122;Pilers;OK;22100863;50,258400;18,856320;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wojnicz;4919;?a?cut;37-100;Ko?ciuszki 19;;01.04.2022;;PO22/O5870;B/324919000122;Zenek;OK;22100888;50,068710;22,229120;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Lubartów;4864;Lublin;20-719;G?sia16;;08.04.2022;08.04.2022;PO22/06798;B/324864000122;Zenek;;22101479;51,247000;22,568000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Sieradz;3030;?ód?;93-286;Prz?dzalniana 124;;;28.03.2022;PO22/03681;B/323030000122;Grzesiek;OK;22100088;51,770580;19,473950;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Wyszków;4615;Chotomów;05-123;Partyzantów 29E;;21.03.2022;21.03.2022;PO22/03354;B/324615000122;Grzesiek;OK;22100773;52,410000;20,887000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;6276;Ciechocinek;87-720;Bema 40;;21.03.2022;21.03.2022;PO22/07676;xB/55BDM000422;Grzesiek;OK;22100851;52,879000;18,795000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
INC2262510;5453;Lubawa;14-260;Wyzwolenia 3A;;14.03.2022;14.03.2022;PO22/06820;B/55BDUM000422;Grzesiek;OK;22100202;53,503000;19,749000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;2973;W?brze?no;87-200;Hallera 8;;29.03.2022;29.03.2022;PO22/07672;B/55BDUM000422;Grzesiek;OK;22100978;53,279000;18,947000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;7249;Niemcz;85-795;Bydgoska;;21.03.2022;21.03.2022;PO22/03936;B/37249000121;Grzesiek;OK;22100047;53,167000;18,101000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Wyszków;3923;M?awa;06-500;Sienkiewicza 12;;;04.04.2022;PO22/08527;B/55BDUM000422;Grzesiek;OK;22101266;53,112780;20,384100;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Ruda ?l?ska;4807;Rybnik;44-203;Sybiraków 7;;;30.05.2022;PO22/06656;B/324807000122;Pilers;OK;22102096;50,097130;18,541790;miasto (GeoNamesCache centroid);GeoNames / baza miast + korekty lokalne
Grudzi?dz;4510;Mor?g;14-300;Dworcowa 11a;;;04.04.2022;PO22/06210;B/324510000122;Grzesiek;OK;22101311;53,917000;19,929000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
Grudzi?dz;4708;Olsztyn;10-699;Jarocka 84;;;04.04.2022;PO22/07192;B/324708000122;Grzesiek;OK;22101264;53,778000;20,480000;miasto (r?czna korekta / centroid miejscowo?ci);GeoNames / baza miast + korekty lokalne
